Accession Tag,Filing Form,Filing Date,Period End Date,Fiscal Period,Total Assets
0001193125-15-259935,10-Q,2015-07-22,2015-06-27,10-Q,231839000000
0001193125-15-356351,10-K,2015-10-28,2015-09-26,CY2013,290479000000
0001193125-16-439878,10-Q,2016-01-27,2015-12-26,10-Q,290479000000
0001193125-16-559625,10-Q,2016-04-27,2016-03-26,10-Q,290479000000
0001628280-16-017809,10-Q,2016-07-27,2016-06-25,10-Q,290479000000
0001628280-16-020309,10-K,2016-10-26,2016-09-24,CY2014,321686000000
0001628280-17-000717,10-Q,2017-02-01,2016-12-31,10-Q,321686000000
0001628280-17-004790,10-Q,2017-05-03,2017-04-01,10-Q,321686000000
0000320193-17-000009,10-Q,2017-08-02,2017-07-01,10-Q,321686000000
0000320193-17-000070,10-K,2017-11-03,2017-09-30,CY2015,375319000000
0000320193-18-000007,10-Q,2018-02-02,2017-12-30,CY2016Q4,375319000000
0000320193-18-000070,10-Q,2018-05-02,2018-03-31,10-Q,375319000000
0000320193-18-000100,10-Q,2018-08-01,2018-06-30,10-Q,375319000000
0000320193-18-000145,10-K,2018-11-05,2018-09-29,CY2016,365725000000
0000320193-19-000010,10-Q,2019-01-30,2018-12-29,10-Q,365725000000
0000320193-19-000066,10-Q,2019-05-01,2019-03-30,10-Q,365725000000
0000320193-19-000076,10-Q,2019-07-31,2019-06-29,10-Q,365725000000
0000320193-19-000119,10-K,2019-10-31,2019-09-28,CY2017,338516000000
0000320193-20-000010,10-Q,2020-01-29,2019-12-28,10-Q,338516000000
0000320193-20-000052,10-Q,2020-05-01,2020-03-28,10-Q,338516000000
0000320193-20-000062,10-Q,2020-07-31,2020-06-27,10-Q,338516000000
0000320193-20-000096,10-K,2020-10-30,2020-09-26,CY2018,323888000000
0000320193-21-000010,10-Q,2021-01-28,2020-12-26,CY2019Q4,323888000000
0000320193-21-000056,10-Q,2021-04-29,2021-03-27,10-Q,323888000000
0000320193-21-000065,10-Q,2021-07-28,2021-06-26,10-Q,323888000000
0000320193-21-000105,10-K,2021-10-29,2021-09-25,CY2019,351002000000
0000320193-22-000007,10-Q,2022-01-28,2021-12-25,CY2020Q4,351002000000
0000320193-22-000059,10-Q,2022-04-29,2022-03-26,10-Q,351002000000
0000320193-22-000070,10-Q,2022-07-29,2022-06-25,10-Q,351002000000
0000320193-22-000108,10-K,2022-10-28,2022-09-24,CY2020,352755000000
0000320193-23-000006,10-Q,2023-02-03,2022-12-31,CY2021Q4,352755000000
0000320193-23-000064,10-Q,2023-05-05,2023-04-01,10-Q,352755000000
0000320193-23-000077,10-Q,2023-08-04,2023-07-01,10-Q,352755000000
0000320193-23-000106,10-K,2023-11-03,2023-09-30,CY2021,352583000000
0000320193-24-000006,10-Q,2024-02-02,2023-12-30,CY2022Q4,352583000000
0000320193-24-000069,10-Q,2024-05-03,2024-03-30,10-Q,352583000000
0000320193-24-000081,10-Q,2024-08-02,2024-06-29,10-Q,352583000000
0000320193-24-000123,10-K,2024-11-01,2024-09-28,CY2022,364980000000
0000320193-25-000008,10-Q,2025-01-31,2024-12-28,CY2023Q4,364980000000
0000320193-25-000057,10-Q,2025-05-02,2025-03-29,10-Q,364980000000
0000320193-25-000073,10-Q,2025-08-01,2025-06-28,10-Q,364980000000
0000320193-25-000079,10-K,2025-10-31,2025-09-27,CY2023,359241000000
0000320193-26-000006,10-Q,2026-01-30,2025-12-27,CY2024Q4,359241000000
0000320193-26-000013,10-Q,2026-05-01,2026-03-28,CY2025Q3I,359241000000
